path_id,t,S,VS,delta_S,delta_V,gain_S,gain_V,tc,cum_pnl
120,11,108.1509,11.9799,0.6791,0.6664,-2.4949,2.8792,0.0001,9.5797
120,12,105.0542,14.7988,0.5507,0.3088,0.5807,0.6202,0.0001,10.7805
120,13,105.9093,15.7294,0.5245,0.2345,-1.3087,2.0732,0.0000,11.5450
120,14,103.5329,22.4437,0.3055,-0.1967,4.7018,-2.2119,0.0002,14.0346
120,15,112.4968,13.0091,0.6024,0.4057,0.5614,-0.2767,0.0002,14.3191
120,16,114.3344,14.4158,0.6106,0.3702,2.3933,-0.8214,0.0000,15.8910
120,17,118.3077,12.3908,0.6991,0.5352,1.4986,-1.0086,0.0001,16.3809
120,18,120.7621,9.6663,0.8091,0.7780,-0.5375,0.2406,0.0001,16.0840
120,19,119.9934,10.1158,0.8034,0.7890,0.0520,-1.2896,0.0000,14.8464
120,20,120.0576,8.4584,0.8662,0.9401,2.5114,-2.0489,0.0000,15.3088
120,21,123.1834,5.8616,0.9997,1.2856,-0.6235,2.1945,0.0001,16.8798
120,22,122.4637,8.1959,0.9277,1.1358,2.5248,1.2606,0.0000,20.6651
120,23,124.9893,9.1765,0.8796,0.9646,-0.6246,3.7607,0.0000,23.8011
120,24,124.3160,12.4875,0.7466,0.6056,-2.4512,1.8150,0.0001,23.1649
120,25,121.5294,14.3690,0.6576,0.4033,6.6704,-3.4248,0.0001,26.4105
120,26,130.4640,8.7136,0.8654,0.8217,-1.1859,0.4993,0.0001,25.7238
120,27,128.6607,9.9515,0.8623,0.8238,0.6931,-0.3638,0.0000,26.0531
120,28,129.4616,9.5087,0.8808,0.8605,4.4669,-4.1732,0.0000,26.3469
120,29,134.6419,4.4429,1.0682,1.3183,0.0035,-0.4235,0.0001,25.9268
121,0,100.0000,13.3333,0.5460,0.3838,0.0000,0.0000,0.0002,-0.0002
121,1,102.0658,14.4585,0.5715,0.3822,1.6301,-0.4231,0.0000,1.2068
121,2,105.0515,13.3561,0.6160,0.4697,2.3213,-3.5277,0.0000,0.0004
121,3,109.1133,4.1259,0.9234,1.3865,0.2271,-0.2878,0.0001,-0.0604
121,4,109.4820,3.5132,1.1195,2.0103,-0.6309,3.9857,0.0001,3.2943
121,5,108.7988,6.3879,1.0910,2.0059,-0.8738,-1.7528,0.0000,0.6677
121,6,108.0183,5.5160,1.1244,2.0826,4.5765,-3.3721,0.0000,1.8722
121,7,112.2131,3.8349,1.2401,2.3106,0.8510,-0.8246,0.0000,1.8985
121,8,112.9700,3.4390,1.3130,2.4595,3.0652,-3.6450,0.0000,1.3187
121,9,115.4417,1.8615,1.4342,2.6842,1.5681,-3.6725,0.0000,-0.7858
121,10,116.6360,0.3682,1.5616,2.9118,-1.6858,4.5143,0.0000,2.0427
121,11,115.4605,2.0500,1.5425,2.8698,-4.4362,3.5456,0.0000,1.1521
121,12,112.6198,3.2677,1.4636,2.7170,0.3796,-0.0903,0.0000,1.4414
121,13,112.8659,3.2362,1.4207,2.6250,1.4977,0.4758,0.0000,3.4149
121,14,113.8892,3.4113,1.3901,2.5488,-0.7137,-1.1584,0.0000,1.5428
121,15,113.3868,2.9700,1.3929,2.5421,-0.6830,-7.1806,0.0000,-6.3209
121,16,112.8955,0.1528,1.5325,2.8077,0.4642,0.8005,0.0000,-5.0562
121,17,113.2287,0.4676,1.5852,2.8967,-0.8586,5.5125,0.0000,-0.4024
121,18,112.6685,2.4309,1.5093,2.7404,2.2228,-0.8965,0.0000,0.9239
121,19,114.0707,2.1215,1.4885,2.6824,-1.5789,3.9160,0.0000,3.2610
121,20,113.0246,3.5505,1.3994,2.4890,2.2841,3.4384,0.0000,8.9834
121,21,114.5590,4.8323,1.2915,2.2317,-4.6003,6.9383,0.0000,11.3214
121,22,111.2717,7.6199,1.0695,1.6981,2.0738,-8.8258,0.0001,4.5693
121,23,112.8775,3.6651,1.1717,1.8890,0.7465,2.7391,0.0000,8.0548
121,24,113.5754,5.2781,1.1305,1.7779,6.3770,-9.8395,0.0000,4.5923
121,25,119.0178,0.0693,1.3937,2.3455,0.1421,1.6032,0.0001,6.3376
121,26,119.1435,0.9710,1.4832,2.5350,-1.5600,1.6450,0.0000,6.4226
121,27,118.0242,1.6724,1.4899,2.5444,4.0411,-4.2386,0.0000,6.2251
121,28,120.7488,0.0003,1.5857,2.7166,-0.0254,2.2675,0.0000,8.4671
121,29,120.7318,0.8915,1.5862,2.7039,0.3894,5.4919,0.0000,14.3483
122,0,100.0000,13.3333,0.5460,0.3838,0.0000,-0.0000,0.0002,-0.0002
122,1,106.5275,5.6659,0.8576,1.2240,-0.6212,-0.7712,0.0001,-1.3927
122,2,105.3896,3.6566,1.0696,1.9176,1.4392,-2.7845,0.0001,-2.7381
122,3,107.0678,1.3818,1.2999,2.4729,0.1332,2.7885,0.0001,0.1836
122,4,107.1923,2.8359,1.3605,2.6198,1.7611,-0.5329,0.0000,1.4117
122,5,108.5471,2.6204,1.4123,2.7081,1.0308,4.1786,0.0000,6.6211
122,6,109.3047,4.2155,1.3638,2.5949,4.0120,-4.6338,0.0000,5.9992
122,7,112.1455,2.5043,1.4236,2.6986,1.0674,1.8766,0.0000,8.9432
122,8,112.9282,3.2275,1.4195,2.6748,-0.3883,6.1011,0.0000,14.6560
122,9,112.6554,5.4883,1.3048,2.4242,0.4425,0.2811,0.0000,15.3796
122,10,112.9672,5.5934,1.2336,2.2624,-0.5855,0.5353,0.0000,15.3294
122,11,112.5185,5.8142,1.1790,2.1313,4.6526,-2.3806,0.0000,17.6013
122,12,116.2902,4.7620,1.2182,2.1816,-2.8957,3.2697,0.0000,17.9754
122,13,113.8342,6.2961,1.1429,2.0076,4.3892,6.1375,0.0000,28.5020
122,14,117.4373,9.1095,0.9821,1.5440,-2.9047,-0.5371,0.0001,25.0601
122,15,114.8958,8.8420,0.9006,1.2722,0.2109,-0.7684,0.0001,24.5025
122,16,115.1105,8.3443,0.8870,1.1634,3.0375,-1.9001,0.0000,25.6399
122,17,118.4832,6.8507,0.9638,1.3061,0.3079,-0.2306,0.0000,25.7172
122,18,118.8303,6.6526,0.9936,1.3995,1.1007,-2.2171,0.0000,24.6007
122,19,119.9723,4.9551,1.0967,1.6665,1.1160,-0.5405,0.0000,25.1762
122,20,121.0955,4.5688,1.1659,1.8546,1.1635,0.0680,0.0000,26.4077
